contact_id,opportunity_id,account_id,first_name,last_name,email,phone,title,department,lead_source,campaign_no,created_date
CON00000001,OPP00000001,ACC000030,Linda,Wilson,linda.wilson417@corp.net,(686) 514-9517,Analyst,Operations,Phone Inquiry,14768.0,2021-10-29
CON00000002,OPP00000002,ACC000994,Charles,Lopez,charles.lopez330@hotmail.com,(235) 264-9289,CTO,Operations,Partner Referral,6814.0,2021-11-09
CON00000003,OPP00000003,ACC000586,Mark,Robinson,mark.robinson187@hotmail.com,(288) 524-6449,VP Sales,Operations,Phone Inquiry,,2021-12-07
CON00000004,OPP00000003,ACC000586,Elizabeth,Smith,elizabeth.smith591@corp.net,(429) 989-3107,Manager,Sales,Web,,2021-12-07
CON00000005,OPP00000004,ACC000353,Carol,Anderson,carol.anderson281@business.org,(371) 378-7172,Director,Operations,Other,29775.0,2021-08-20
CON00000006,OPP00000005,ACC000796,Donna,Anderson,donna.anderson609@corp.net,(382) 582-8638,Manager,Marketing,Phone Inquiry,22599.0,2021-11-02
CON00000007,OPP00000006,ACC000335,Lisa,Miller,lisa.miller862@yahoo.com,(553) 949-5153,VP Sales,Finance,Phone Inquiry,1323.0,2021-09-01
CON00000008,OPP00000007,ACC000928,Sarah,Lewis,sarah.lewis585@hotmail.com,(713) 572-1038,VP Sales,Sales,Web,,2021-11-05
CON00000009,OPP00000008,ACC000455,Joseph,Rodriguez,joseph.rodriguez939@hotmail.com,(759) 230-8299,Manager,Operations,Other,30096.0,2021-09-18
CON00000010,OPP00000008,ACC000455,Mark,Martinez,mark.martinez188@business.org,(414) 744-1028,CTO,Operations,Other,44298.0,2021-09-18
CON00000011,OPP00000009,ACC000978,Robert,Robinson,robert.robinson188@yahoo.com,(228) 444-8875,CTO,IT,Purchased List,32058.0,2021-10-26
CON00000012,OPP00000009,ACC000978,Donald,Anderson,donald.anderson725@hotmail.com,(627) 518-3704,Specialist,Operations,Partner Referral,12334.0,2021-10-26
CON00000013,OPP00000010,ACC000214,Sandra,Anderson,sandra.anderson890@corp.net,(517) 446-7329,Manager,Finance,Purchased List,11665.0,2021-09-18
CON00000014,OPP00000011,ACC000398,Mary,Martin,mary.martin822@hotmail.com,(353) 245-8796,VP Sales,Marketing,Purchased List,14235.0,2021-11-28
CON00000015,OPP00000012,ACC000551,Sandra,Gonzalez,sandra.gonzalez739@yahoo.com,(793) 514-8922,Manager,Finance,Phone Inquiry,33296.0,2021-09-21
CON00000016,OPP00000013,ACC000976,Ruth,Johnson,ruth.johnson498@hotmail.com,(934) 387-2408,Manager,Marketing,Purchased List,32959.0,2021-08-05
CON00000017,OPP00000013,ACC000976,Richard,Brown,richard.brown765@company.com,(749) 715-5744,Manager,HR,Other,,2021-08-05
CON00000018,OPP00000014,ACC000203,David,Moore,david.moore730@yahoo.com,(521) 530-4961,Analyst,HR,Phone Inquiry,,2021-10-11
CON00000019,OPP00000015,ACC000622,Elizabeth,Smith,elizabeth.smith91@yahoo.com,(654) 991-8681,Specialist,HR,Partner Referral,,2021-09-03
CON00000020,OPP00000016,ACC000411,Lisa,Robinson,lisa.robinson252@business.org,(516) 613-1241,VP Marketing,Marketing,Partner Referral,46875.0,2021-12-10
CON00000021,OPP00000016,ACC000411,David,Garcia,david.garcia710@yahoo.com,(429) 947-6834,CTO,Operations,Partner Referral,,2021-12-10
CON00000022,OPP00000017,ACC000531,Paul,Martinez,paul.martinez367@business.org,(840) 812-5358,Specialist,Operations,Web,1639.0,2021-10-31
CON00000023,OPP00000017,ACC000531,Joseph,Thompson,joseph.thompson455@yahoo.com,(532) 695-2717,Director,Finance,Purchased List,39115.0,2021-10-31
